Grade,Course,Section,Period,Room,Mark1
12,SCF84QL,1,3,238,P
12,SCF84QQF,1,3,238,65
12,SEF88QQ3,2,6,341,80
12,SXRUE,2,12,229,
12,SXRXE,3,12,105,
12,ULFC4TP,5,9,B39,84
12,ZLUN,5,5,CAFÉ,
12,ZQCTEMPP,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE19,1,14,,
9,EEFG4HG,6,3,246,93
9,FSFC4H,8,4,122,92
9,GQF11QLL,15,15,****,32
9,HGF87HQD,20,6,323,95
9,HGF88HQD,20,7,323,95
9,HXRTE,2,12,104,
9,MEF44H,6,8,219,96
9,MKF44,1,2,322,88
9,MXRCE,2,12,103,
9,PPF44Q2B,15,9,GYM3,90
9,PPF44Q3B,17,9,GYM3,90
9,SLF44H,11,10,228,95
9,SLF44QL,11,10,228,P
9,SXRKE,2,12,103,
9,ZLUN,5,5,CAFÉ,
9,ZQCTECWD,1,14,,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
9,AWF84,4,9,222,86
9,EEFG4QT,1,8,336,71
9,FJFC4,3,10,124,65
9,GQF11QLL,15,15,****,30
9,HGF87QTD,1,2,334A,81
9,HGF88QTD,1,3,334A,81
9,HXRTE,81,12,223,
9,MEF44QT,3,4,105,75
9,MXRCE,82,12,125,
9,PHF44Q3,5,6,B17,75
9,PPF44Q2B,10,6,GYM3,90
9,SLF44QLT,4,7,333,P
9,SLF44QT,4,7,333,87
9,SXRKE,80,12,122,
9,ZLUN,5,5,CAFÉ,
9,ZQCTEDA,1,14,,
9,ZQIGS,1,14,150,
9,ZQISS20X,1,13,****,
9,ZQISSQRA,1,13,****,
9,ZQJUNE21,1,14,,
12,EEFGGUQX,2,5,347,90
12,FMF44UQX,1,2,116,88
12,GGF11Q18,85,8,147,
12,GMF11Q9,9,9,,
12,GQF11QU3,6,6,LIB,
12,MPF44UQS,1,3,211,92
12,PPF44Q2B,9,6,GYM3,90
12,ULFCCTP,1,4,B39,94
12,UQF44QQY,7,7,216,100
12,ZLUNGG,85,8,CAFÉ,
12,ZQAPEELT,1,13,,
12,ZQAPFM,1,13,,
12,ZQCTEMPP,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE18,1,14,,
9,EEF87QG,99,14,****,MP
9,EEF88QG,7,5,146,65
9,EEFGFUQJ,2,8,B6,MP
9,EEFGGUQJ,2,8,B6,
9,GAF11QD,63,6,134,
9,GGF11Q18,64,6,147,
9,HFF43QQB,3,9,333,P
9,HFF44QQB,3,9,333,67
9,HGFCBQQ3,1,4,326,P
9,HGFCCQQ3,1,4,326,65
9,HUF43QQB,3,10,333,P
9,HUF44QQB,3,10,333,65
9,HXRTE,70,12,214,
9,HXRUE,70,12,221,
9,MRF42QG,1,3,214,P
9,MRF43QG,1,3,214,P
9,MRF44QG,1,3,214,68
9,MXRNE,70,12,113,
9,PHF44Q2,3,4,B17,83
9,PPF41Q3B,1,2,GYM3,P
9,PPF42Q3B,1,2,GYM3,P
9,PPF43Q2B,1,2,GYM3,P
9,PPF43Q3B,1,2,GYM3,P
9,PPF44Q2B,1,2,GYM3,65
9,PPF44Q3B,1,2,GYM3,65
9,SDF43,99,14,****,MP
9,SDF44,1,7,247,65
9,ZLUNGWR,6,6,CAFÉ,
9,ZQCTEDA,1,14,,
9,ZQISS,1,13,****,
9,ZQISS15X,1,13,****,
9,ZQJUNE18,1,14,,
9,ZQPROBT,1,14,150,
9,ZQSNT174,1,13,****,ND
9,EEFG4HT,5,6,246,95
9,FFFC4H,2,10,111,96
9,GQF11QLL,15,15,****,30
9,HGF87HTD,5,2,314,92
9,HGF88HTD,5,3,314,92
9,HXRTE,70,12,214,
9,MEF44HT,8,9,104,98
9,MKF44,2,5,108,75
9,MXRCE,71,12,114,
9,PPF44Q2G,6,4,GYM2,100
9,PPF44Q3G,6,4,GYM2,98
9,SLF44QLT,5,8,231,P
9,SLF44QT,5,8,231,85
9,SXRKE,70,12,113,
9,ZLUN,7,7,CAFÉ,
9,ZQCTECWD,1,14,,
9,ZQIGS,1,14,150,
9,ZQISS,1,13,****,
9,ZQISS15X,1,13,****,
9,ZQJUNE21,1,14,,
10,BCF44T,37,9,204,100
10,EEF88H,6,8,146,93
10,EXRCE,2,12,104,
10,FSFC8H,5,4,113,92
10,GQF11QLC,15,15,****,29
10,HUF44UQX,2,3,333,100
10,HXRUE,2,12,104,
10,MRF44H,26,10,208,100
10,MXRNE,6,12,141,
10,PPF44Q2B,15,9,GYM3,90
10,PTF21QQS,1,12,251,P
10,PTF22QQS,1,13,251,P
10,SCF44H,6,6,138,90
10,SCF44QL,6,6,138,P
10,SHFC6TM,4,7,327,100
10,SXRXE,3,12,105,
10,ZLUN,5,5,CAFÉ,
10,ZQAPHU,1,13,,
10,ZQCTESMM,1,14,,
10,ZQIGS,1,14,150,
10,ZQJUNE20,1,14,,
9,EEFGCHF,1,4,347,92
9,FFFC4,2,10,111,79
9,GQF11QLL,15,15,****,28
9,HGF84QF,1,3,336,89
9,MEF44QF,2,9,223,65
9,MXRCE,40,12,104,
9,PGF44Q3C,7,8,GYM1,80
9,SHF82H,2,5,228,91
9,SLF44QF,1,7,338,67
9,SLF44QLF,1,7,338,P
9,SXRKE,40,12,104,
9,UAF44Q2,6,8,235,66
9,ZLUN,6,6,CAFÉ,
9,ZQCTESMM,1,14,,
9,ZQELLCUR,1,13,****,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
9,AWF84,3,6,222,
9,EEFG4,4,9,126,
9,EXRCE,2,12,104,
9,FKFC4,1,2,114,
9,GAF11QL,83,8,134,
9,GQF11QLL,15,15,****,NS
9,HGF87QQD,8,4,341,
9,HGF88QQD,8,5,341,
9,HXRTE,2,12,104,
9,MEF88QG,2,7,207,
9,MXRCE,2,12,103,
9,PHF44Q2,2,3,B17,
9,PPF44Q3B,5,3,GYM3,
9,SLF44,12,10,338,
9,SLF44QL,12,10,338,F
9,SXRKE,2,12,103,
9,ZLUNGA,83,8,CAFÉ,
9,ZQCTEDA,1,14,,
9,ZQJUNE19,1,14,,
9,ZQPROBCT,1,14,150,
9,EEFG4HH,2,2,346,93
9,FLFC4HH,2,10,115,95
9,GQF11QLL,15,15,****,30
9,HGF87XHD,2,8,321,92
9,HGF88XHD,2,9,321,92
9,HQF44HH,2,3,324,95
9,HXRTE,2,12,104,
9,MRF44QG,4,4,219,85
9,MXRNE,6,12,141,
9,PHF44H3,5,6,B17,100
9,PPF44Q2G,9,6,GYM2,97
9,SLF44HG,4,7,333,96
9,SLF44QLG,4,7,333,P
9,SXRKE,2,12,103,
9,ZLUN,5,5,CAFÉ,
9,ZQAPHG,1,13,,
9,ZQCTEHHR,1,14,,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
9,EEFG4H,3,2,126,92
9,FSFC8H,8,7,149,91
9,GQF11QLL,15,15,****,33
9,HGF87QQD,3,3,213,83
9,HGF88QQD,3,4,213,83
9,HXRTE,2,12,104,
9,MEF44H,7,10,207,97
9,MXRCE,2,12,103,
9,PHF44H3,8,9,B17,92
9,PPF44Q2B,17,9,GYM3,90
9,SHFC2TM,2,5,248,100
9,SLF44H,6,6,338,92
9,SLF44QL,6,6,338,P
9,SXRKE,2,12,103,
9,ZLUN,8,8,CAFÉ,
9,ZQCTESMM,1,14,,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
9,EEFG4QH,2,2,346,89
9,FLFC4HH,2,10,115,98
9,GQF11QLC,15,15,****,29
9,HGF87XHD,2,8,321,91
9,HGF88XHD,2,9,321,91
9,HQF44HH,2,3,324,97
9,HXRTE,2,12,104,
9,MRF44,18,7,205,76
9,MXRNE,6,12,141,
9,PHF44H2,3,4,B17,96
9,PPF44Q3G,6,4,GYM2,100
9,SCF44,6,6,138,87
9,SCF44QL,6,6,138,P
9,SXRXE,3,12,105,
9,ZLUN,5,5,CAFÉ,
9,ZQAPHG,1,13,,
9,ZQCTEHHR,1,14,,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
9,EEFGCQF,1,4,347,65
9,FSFC8,4,3,113,73
9,GQF11QLL,15,15,****,28
9,HGF84QF,3,10,334A,65
9,MEF43,99,14,****,MP
9,MEF44,4,5,214,65
9,MKF44,5,9,106,75
9,MXRCE,60,12,104,
9,PHF44Q2,5,6,B17,84
9,PPF44Q3B,10,6,GYM3,92
9,SLF44QF,1,7,338,68
9,SLF44QLF,1,7,338,P
9,SXRKE,60,12,104,
9,ZLUN,8,8,CAFÉ,
9,ZQCTECWD,1,14,,
9,ZQELLCUR,1,13,****,
9,ZQIGS,1,14,150,
9,ZQJUNE21,1,14,,
12,EEFGGUQV,5,9,335,95
12,FFFCC,2,6,111,81
12,FXTSE,7,12,213,
12,GQF11QLP,15,15,****,26
12,MPF44UQJ,4,8,208,85
12,PPF44Q2G,5,4,GYM2,97
12,PPF44Q3G,5,4,GYM2,95
12,SPF44,8,10,229,75
12,SPF44QL,8,10,229,P
12,SXRPE,3,12,122,
12,ULFC4TP,2,3,B39,94
12,ULFC8TP,1,5,232,89
12,ZLUN,7,7,CAFÉ,
12,ZQCTEMPP,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE19,1,14,,
10,AQF44UVT,1,4,206,80
10,BCF44T,35,8,111,78
10,EEF88,3,3,346,86
10,EXRCE,2,12,104,
10,FSFC8,8,7,149,73
10,GQF11QLP,15,15,****,25
10,HUF44UQX,4,6,325,87
10,HXRUE,2,12,104,
10,MRF44,24,9,105,70
10,MXRNE,6,12,141,
10,PPF44Q2G,11,8,GYM2,95
10,SPF44,1,2,229,83
10,SPF44QL,1,2,229,P
10,SXRPE,3,12,122,
10,ZLUN,5,5,CAFÉ,
10,ZQAPHU,1,13,,
10,ZQCTEERT,1,14,,
10,ZQIGS,1,14,150,
10,ZQJUNE20,1,14,,
12,BFF22U,1,11,322,93
12,EEFGGHQC,1,2,250,95
12,EEFGGUQX,1,3,347,93
12,FLF44UQX,1,7,121,95
12,FXTLE,2,12,126,
12,GGF11Q18,57,5,147,
12,GLFGGH,1,1,334B,96
12,GMF11Q8,8,8,,
12,GQF11QU2,6,6,LIB,
12,HQF44QQY,4,4,317,99
12,PGF44Q3C,5,6,GYM1,100
12,ZLUNGG,57,5,CAFÉ,
12,ZQAPEELT,1,13,,
12,ZQAPFL,1,13,,
12,ZQCTEHHR,1,14,,
12,ZQIGS,1,14,150,
12,ZQJUNE18,1,14,,
11,EEFGCUQX,4,8,349,95
11,FSFCCU,5,6,113,100
11,FXTSE,3,12,205,
11,GQF11QLP,15,15,****,27
11,MRF44,9,4,211,85
11,MXRNE,6,12,141,
11,PPF44Q2G,2,2,GYM2,97
11,PPF44Q3G,2,2,GYM2,95
