Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2020,"12        ",Female,17,Right-Handed,152,24,152,1,Car,12,.37,39,Lacrosse,877,572,492,348,283,930,24,"Same length",50,50,"Same length",September,Summer,No,No,Meat,Water,"Social studies",7,11,5,"Yes - broadband connection","Text messaging",300,700,50,0,5,15,10,0,48,25,100,0,0,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Healthy,"Coach or club leader",Health
USA,NY,2020,"12        ",Female,16,Right-Handed,163,23,157,1,Car,10,.308,50,Soccer,904,818,594,578,668,668,23,"Same length",70,76,"Ring finger",October,Summer,No,No,Pizza/Pasta,Water,Art,8,9,4,"Yes - broadband connection","Text messaging",100,1004,20,1,4,45,10,2,40,15,20,6,22,5,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,"Sports person",Health
USA,NY,2020,"11        ",Male,16,Right-Handed,173,25,173,1,Car,5,0.344,44,Swimming,503,503,749,749,1000,1000,25,"Same length",90,95,"Ring finger",May,Winter,Yes,No,Meat,Water,History,8,10,5,"Yes - broadband connection","Text messaging",x,x,4,2,6,1,14,4,1,2,14,7,0,0.1,,"Some college","Rock and roll","Freeze time",Rich,"Business person",Health
USA,NY,2020,"12        ",Female,18,Right-Handed,165,25,165,2,Car,7,.438,44,Walking/Hiking,1000,900,900,800,100,100,26,"Left foot",89,91,"Ring finger",January,Spring,No,No,Poultry,Water,Languages,4,8,4,"Yes - other","Text messaging",15,40,4,3,30,5,3,0,3,4,12,0,0,2,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Healthy,Teacher,Religious
USA,NY,2020,"12        ",Female,17,Right-Handed,170,23,178,2,"Rail (Train/Tram/Subway)",65,0.367,41***,Walking/Hiking,900,600,400,700,1000,1000,24,"Left foot",75,70,"Index finger",July,Fall,No,No,Breads/Sandwiches,Water,Science,8,10,4,"Yes - broadband connection","Text messaging",4,5,1,3,4,0,0,0,10,2,14,0,0,1,Some,"Undergraduate degree","Rhythm and blues (R&B)",Invisibility,Healthy,Other,"Wildlife, animals"
USA,NY,2020,"12        ",Female,17,Right-Handed,162,23,170,1,"Rail (Train/Tram/Subway)",50,0.361,51,Other,700,700,700,700,1000,1000,23,"Same length",70.6,70,"Index finger",February,Spring,No,No,Fruit,Water,English,6,8,3,"Yes - broadband connection","Text messaging",50,50,2,0,10,0,0,0,2,5,10,0,2,1,Some,"Graduate degree",Other,Fly,Happy,"Musician or singer","Education/Youth development"
USA,NY,2020,"12        ",Female,17,Right-Handed,179,24.5,182.5,3,Bus,35,.408,78,Swimming,500,500,500,500,500,500,24.5,"Same length",,7.5,"Same length",June,Spring,No,No,Meat,"Energy drink","Mathematics and statistics",7,8,5,"Yes - broadband connection","In person",30,30,5,3,12,9,21,0,48,4,5,2,0,15,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,NY,2020,"12        ",Male,17,Right-Handed,180,27,175,2,Car,5,.309,34,Basketball,500,500,500,700,1000,1000,28,"Left foot",84,90,"Ring finger",October,Winter,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",50,60,3,1,20,10,5,15,10,5,25,0,7,2,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,Relative,Health
USA,NY,2020,"12        ",Male,17,Right-Handed,177,26,183,1,Car,12,.307,38,Golf,3,4,2,1,6,5,26,"Left foot",85,88,"Ring finger",November,Summer,Yes,No,Meat,Water,"Physical education",8-9,9-10,4,"Yes - broadband connection",Other,20,80,10,0,15-20,5,5,20,10,1,30,12,20,3,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,Health
USA,NY,2020,"12        ",Female,18,Right-Handed,5'3,24,165,1,Car,"12 ",0.427,34,Skateboarding/Rollerblading,1000,1000,10000,0,500,1000,24,"Same length",76.2,76.2,"Index finger",January,Summer,Yes,No,Pizza/Pasta,Water,Art,6,10-12,8,"Yes - broadband connection","Text messaging",10+,10+,0,20,10,40,0,30,30,30,60,30,0,0,Some,"Graduate degree",Other,Telepathy,Rich,Relative,Environment
